iter	Passed	Remaining
0	22	33883
1	35	26416
2	46	23389
3	58	21953
4	72	21745
5	86	21467
6	97	20896
7	109	20363
8	121	20132
9	136	20368
10	151	20483
11	162	20201
12	178	20402
13	190	20167
14	201	19911
15	213	19777
16	224	19572
17	234	19346
18	245	19098
19	255	18870
20	264	18608
21	275	18504
22	285	18354
23	296	18226
24	306	18057
25	315	17904
26	325	17757
27	337	17728
28	347	17637
29	358	17561
30	370	17567
31	384	17640
32	400	17825
33	419	18091
34	441	18476
35	459	18702
36	475	18804
37	491	18893
38	505	18919
39	520	18983
40	532	18939
41	546	18969
42	557	18905
43	568	18810
44	579	18744
45	590	18672
46	599	18541
47	610	18478
48	620	18375
49	631	18299
50	641	18229
51	652	18162
52	662	18082
53	672	18018
54	682	17941
55	693	17892
56	703	17820
57	714	17753
58	723	17682
59	736	17681
60	748	17651
61	759	17620
62	770	17583
63	782	17568
64	795	17565
65	806	17516
66	817	17492
67	830	17489
68	841	17441
69	851	17399
70	861	17335
71	872	17310
72	882	17249
73	892	17200
74	902	17145
75	912	17098
76	922	17052
77	934	17027
78	944	16993
79	954	16951
80	965	16918
81	975	16864
82	985	16830
83	995	16785
84	1006	16758
85	1018	16739
86	1028	16705
87	1039	16683
88	1052	16680
89	1063	16664
90	1074	16633
91	1084	16594
92	1094	16553
93	1103	16511
94	1112	16452
95	1122	16414
96	1132	16379
97	1142	16347
98	1152	16313
99	1162	16275
100	1174	16263
101	1185	16247
102	1196	16232
103	1208	16219
104	1221	16224
105	1235	16243
106	1246	16231
107	1258	16217
108	1268	16190
109	1279	16167
110	1289	16141
111	1299	16098
112	1308	16057
113	1316	16011
114	1325	15961
115	1333	15910
116	1342	15866
117	1350	15820
118	1358	15771
119	1367	15721
120	1375	15678
121	1384	15638
122	1392	15589
123	1401	15547
124	1409	15502
125	1418	15464
126	1426	15420
127	1434	15375
128	1442	15327
129	1450	15285
130	1459	15247
131	1467	15211
132	1477	15182
133	1485	15143
134	1493	15101
135	1501	15058
136	1509	15020
137	1517	14981
138	1526	14947
139	1535	14915
140	1544	14887
141	1555	14878
142	1565	14852
143	1574	14831
144	1583	14800
145	1592	14771
146	1602	14748
147	1611	14722
148	1621	14698
149	1630	14671
150	1638	14641
151	1648	14615
152	1657	14590
153	1665	14559
154	1674	14529
155	1683	14500
156	1691	14473
157	1699	14438
158	1708	14410
159	1717	14381
160	1727	14363
161	1735	14330
162	1743	14300
163	1753	14282
164	1762	14256
165	1771	14233
166	1781	14218
167	1789	14190
168	1798	14167
169	1808	14151
170	1817	14126
171	1827	14113
172	1836	14090
173	1845	14063
