n_samples,sr_hz,duration_s,mean,std,rms,rms_dbfs,peak_abs,crest_factor,zcr_mean,zcr_std,spectral_flux_mean,spectral_flux_std,top1_freq_hz,top1_power,top2_freq_hz,top2_power,top3_freq_hz,top3_power,dom_freq_hz,spectral_centroid_hz,spectral_spread_hz,spectral_skewness,spectral_kurtosis,spectral_flatness,spectral_entropy,rolloff85_hz,rolloff95_hz,band_0_250_ratio,band_250_500_ratio,band_500_2000_ratio,band_2000_5000_ratio,band_5000_8000_ratio,freq_p25_hz,freq_p50_hz,freq_p75_hz,path,nombre_archivo,clase
3600797,16000.0,225.0498125,-2.807657619996462e-05,0.051568448543548584,0.05156845599412918,-25.752317431306505,0.502593994140625,9.746151682296691,0.1169462576508522,0.04808564856648445,0.4824713468551636,0.10371515154838562,29.277962628829115,663314944.0,29.895603667743558,247253024.0,29.273519168117502,74957992.0,29.277962628829115,1012.0920747405447,797.1041764367451,1.446857911515112,7.873073785710789,0.028796005216204883,0.8101500104661165,1493.4427017129817,2775.5277512172997,0.19841070586042464,0.10636175313395096,0.6237428082668369,0.06962922447924699,0.0018555082595403704,426.72330597920404,949.6119886791729,1428.5192972555797,data\raw\Training_data\1.wav,1.wav,1
92748,16000.0,5.79675,-0.02174808457493782,0.21633224189281464,0.21742266416549683,-13.253903739586878,1.0,4.599336521968218,0.16045737266540527,0.05923359841108322,0.5195248126983643,0.1291835755109787,1015.2240479579074,289832.78125,1029.5424160089703,254852.90625,1018.8467675852847,233570.359375,1015.2240479579074,1736.147816613515,926.4892561728053,1.572761717964776,10.152982830247497,0.05198547594230322,0.845149386970798,2650.6231940311377,3242.6790874196745,0.024956167639220768,0.009745138651868183,0.6141004675952765,0.3450782384286756,0.006119987684959047,1022.2969767542156,1645.40475266313,2231.4227800060376,data\raw\Training_data\100.wav,100.wav,4
476184,16000.0,29.7615,-0.020860202610492706,0.3463035523891449,0.34693124890327454,-9.195131609671149,1.0,2.88241547327091,0.18164020776748657,0.06896232068538666,0.5289636254310608,0.09477110207080841,1122.221662214606,8153690.0,1168.187087344388,6730223.0,1015.7754145456379,6263891.0,1122.221662214606,1633.3907966048332,901.340154819369,2.0494905446960816,11.594323162406436,0.050550746913360894,0.8542891982660717,2550.9130924180567,3252.389832501722,0.011598221603338291,0.005387638912103987,0.7186289862781037,0.25858399383328645,0.005801028914888133,1031.4332274918938,1292.911983602977,2058.800799690876,data\raw\Training_data\101.wav,101.wav,4
545105,16000.0,34.0690625,-0.021003594622015953,0.32089805603027344,0.3215847313404083,-9.854091589766785,1.0,3.1096003713604987,0.22612404823303223,0.08296366780996323,0.5300804376602173,0.09349223971366882,1231.1462929160436,7307872.0,1230.2070243347612,6562680.0,1230.3244329074214,5876194.0,1231.1462929160436,2054.366235490942,1102.4896422280628,1.3915971889850747,7.998792717787797,0.04248948972426739,0.8608551880794652,3173.3482540061086,3353.071426605883,0.010047090585914045,0.003563651527671977,0.5367806541813268,0.43900528329348343,0.01060332041160367,1173.55738802616,1788.6021959072104,3036.4498582841834,data\raw\Training_data\102.wav,102.wav,4
404939,16000.0,25.3086875,-0.019800858572125435,0.3680444061756134,0.36857664585113525,-8.66944372956121,1.0,2.7131398889659732,0.25274336338043213,0.08482249081134796,0.5332444310188293,0.09737568348646164,2007.452974398613,4493483.5,2006.1885864290668,3361365.5,3082.4988455051252,3178163.25,2007.452974398613,2247.710911472545,1025.7196282748728,1.4647495115928597,9.890510026007766,0.05801433302057666,0.868790995760663,3160.4562662524477,3354.9744529422946,0.008487321997906624,0.004188071246260231,0.4327958699584119,0.5427575720087933,0.011771164788627938,1533.7026070593347,2080.5108917639445,3008.8877584031175,data\raw\Training_data\103.wav,103.wav,4
364399,16000.0,22.7749375,-0.021038386970758438,0.3426952362060547,0.3433403968811035,-9.285501903497755,1.0,2.9125614378150013,0.21927344799041748,0.07357706874608994,0.5279181599617004,0.0893671065568924,1229.245963902206,3615171.5,1631.0472860792702,3539462.0,1143.5816234402398,3499566.75,1229.245963902206,1770.4301088498676,944.9536820482132,1.9151505631354968,10.884532678540532,0.041357318867911316,0.8505970504671923,2997.6372053710356,3258.362399457737,0.009476897711595201,0.00399860291963041,0.6880125444834558,0.29182838300606806,0.0066835718792505276,1131.463039141161,1476.008441296491,2228.941352747949,data\raw\Training_data\104.wav,104.wav,4
360933,16000.0,22.5583125,-0.01947236992418766,0.44355013966560364,0.44397738575935364,-7.05278300716914,1.0,2.2523669720016413,0.1799263060092926,0.05166618898510933,0.5294331908226013,0.09677603095769882,1035.2281448357453,21283686.0,1031.327143818936,12331012.0,1028.179745271283,12184987.0,1035.2281448357453,1449.1949822557929,696.8790132193373,2.489376975198184,16.99372049806618,0.034567048148070885,0.8159374049494156,2074.002654232226,2835.9390801062805,0.0076183550542967635,0.004725190090444998,0.7831135353663959,0.20116174048078508,0.003381179008077051,1024.8993580526026,1175.4425336558309,1927.5377978738438,data\raw\Training_data\105.wav,105.wav,4
447477,16000.0,27.9673125,-0.019025327637791634,0.4656710624694824,0.4660595655441284,-6.631171480193949,1.0,2.1456484834347123,0.1908160299062729,0.056341752409935,0.5259408950805664,0.10590943694114685,1272.1637089727515,8056723.5,1035.6018298147167,7837723.0,1272.5927813049607,7808222.0,1272.1637089727515,1551.4807712824972,733.6973008281385,2.308947598323323,15.93910983584747,0.04353505495676237,0.8429117386528068,2086.3284593398093,3073.123311365723,0.009010205837139603,0.006416599397058414,0.7698418147266597,0.21062215803277656,0.00410922200636589,1040.7506978012277,1308.5275891274857,1961.2538745008121,data\raw\Training_data\106.wav,106.wav,4
496032,16000.0,31.002,-0.02072170563042164,0.40335407853126526,0.40388602018356323,-7.874823578452677,1.0,2.4759460591022866,0.1669449657201767,0.045753899961709976,0.5198214054107666,0.09962762147188187,1031.449583897813,13732652.0,1035.6751177343397,13039561.0,1003.7416940842526,11358011.0,1031.449583897813,1398.9897214736568,584.7157204108772,2.464080898668423,20.2485085256988,0.026763348542410612,0.82350038042182,2006.2899167795624,2201.2128249790335,0.007218797880274127,0.003635150797521455,0.8343577686847712,0.15256825577643793,0.0022199738206841,1016.3215276433777,1227.6304754531966,1829.91419908393,data\raw\Training_data\107.wav,107.wav,4
112371,16000.0,7.0231875,-0.0076224906370043755,0.44624289870262146,0.4463080167770386,-7.007306242093245,1.0,2.2406050584109685,0.19069458544254303,0.04950236529111862,0.545076847076416,0.09099502861499786,1290.8668606668978,1954405.25,1276.3435405932132,1928709.5,1285.8833684847511,1913142.125,1290.8668606668978,1455.6256502462084,772.724624032308,3.121898847764395,17.153052700568605,0.044994715200951205,0.830422859340146,1768.1430262256274,2735.510051525749,0.0046896615236694155,0.015251380547439033,0.8548430600496663,0.11175041616213695,0.013465481717088465,1066.1825559975437,1290.4397041941425,1575.9226134856856,data\raw\Training_data\125.wav,125.wav,5
